StoreSectionId;ProductId
9;1
23;1
8;2
21;2
9;3
22;3
5;4
21;4
5;5
21;5
8;6
21;6
5;7
21;7
1;8
23;8
5;9
21;9
3;10
19;10
9;11
22;11
5;12
21;12
2;13
17;13
2;14
17;14
3;15
19;15
5;16
21;16
9;17
22;17
3;18
21;18
9;19
22;19
8;20
22;20
2;21
17;21
2;22
17;22
8;23
22;23
9;24
4;25
18;25
4;26
18;26
5;27
21;27
4;28
18;28
4;29
18;29
4;30
18;30
6;31
22;31
4;32
18;32
3;33
20;33
3;34
20;34
4;35
18;35
4;36
18;36
3;37
21;37
4;38
18;38
6;39
22;39
4;40
18;40
8;41
22;41
8;42
19;42
6;43
19;43
8;44
22;44
5;45
21;45
4;46
18;46
2;47
17;47
9;48
23;48
8;49
23;49
9;50
23;50
8;51
19;51
8;52
22;52
9;53
23;53
4;54
18;54
1;55
23;55
27;55
1;56
23;56
5;57
21;57
9;58
23;58
4;59
18;59
4;60
18;60
3;61
20;61
6;62
22;62
4;63
18;63
6;64
19;64
8;65
22;65
6;66
19;66
4;67
18;67
3;68
19;68
3;69
19;69
4;70
18;70
4;71
18;71
3;72
20;72
3;73
20;73
1;74
17;74
9;75
22;75
27;76
2;77
22;77
8;78
21;78
1;79
27;79
1;80
8;81
22;81
5;82
21;82
1;83
27;83
4;84
18;84
3;85
20;85
4;86
18;86
6;87
19;87
3;88
19;88
2;89
22;89
1;90
23;90
27;90
3;91
20;91
8;92
21;92
3;93
20;93
8;94
22;94
8;95
22;95
8;96
22;96
4;97
18;97
2;98
3;99
19;99
8;100
22;100
4;101
18;101
6;102
22;102
4;103
18;103
4;104
18;104
6;105
22;105
6;106
22;106
6;107
22;107
4;108
18;108
9;109
23;109
4;110
18;110
4;111
18;111
4;112
18;112
2;113
23;113
2;114
17;114
9;115
23;115
4;116
18;116
3;117
20;117
8;118
22;118
8;119
22;119
8;120
22;120
8;121
21;121
5;122
21;122
4;123
18;123
3;124
20;124
2;125
22;125
2;126
22;126
8;127
21;127
2;128
23;128
6;129
19;129
9;130
22;130
1;131
23;131
9;132
22;132
2;133
22;133
9;134
22;134
8;135
22;135
9;136
22;136
5;137
21;137
2;138
17;138
4;139
18;139
4;140
18;140
4;141
18;141
4;142
18;142
4;143
18;143
8;144
19;144
4;145
18;145
3;146
20;146
4;147
18;147
4;148
18;148
9;149
22;149
4;150
18;150
3;151
20;151
6;152
22;152
3;153
20;153
18;154
5;155
21;155
2;156
6;157
22;157
6;158
19;158
6;159
22;159
1;160
22;160
8;161
22;161
8;162
21;162
6;163
22;163
1;164
23;164
9;165
23;165
9;166
23;166
9;168
23;168
1;169
22;169
2;170
2;171
21;171
3;172
19;172
8;173
22;173
8;174
22;174
6;175
22;175
3;176
20;176
4;177
18;177
6;178
19;178
2;179
17;179
9;180
22;180
1;181
23;181
8;182
23;182
4;183
18;183
1;184
23;184
5;185
21;185
8;186
22;186
8;187
22;187
6;188
22;188
2;189
23;189
4;190
18;190
4;191
18;191
6;192
22;192
2;193
17;193
3;194
19;194
6;195
19;195
6;196
22;196
5;197
21;197
6;198
22;198
9;199
23;199
1;200
23;200
3;201
22;201
3;202
19;202
5;203
21;203
4;204
23;204
2;205
4;206
18;206
4;207
18;207
2;208
17;208
8;209
21;209
9;210
23;210
6;211
19;211
8;212
22;212
4;213
18;213
3;214
19;214
8;215
21;215
3;216
20;216
9;217
18;217
9;218
23;218
1;219
27;219
8;220
23;220
8;221
22;221
8;222
22;222
3;223
19;223
9;224
17;224
4;225
18;225
6;226
22;226
6;227
22;227
9;228
23;228
9;229
23;229
2;230
22;230
4;231
18;231
3;232
21;232
8;233
22;233
2;234
21;234
2;235
17;235
8;236
22;236
9;237
1;238
4;239
18;239
4;240
18;240
8;242
22;242
9;243
6;244
22;244
9;245
23;245
4;246
18;246
4;247
18;247
4;248
18;248
21;249
5;250
21;250
3;251
20;251
4;252
18;252
4;253
18;253
8;254
21;254
8;255
21;255
5;256
21;256
6;257
22;257
19;258
6;259
19;259
3;260
20;260
9;261
23;261
8;262
23;262
8;263
23;263
24;264
24;265
24;266
8;267
21;267
9;268
22;268
3;269
20;269
3;270
20;270
1;271
22;271
3;272
20;272
4;273
18;273
6;274
19;274
6;275
19;275
6;276
19;276
6;277
19;277
4;278
18;278
4;279
18;279
6;280
20;280
3;281
20;281
23;282
25;282
25;283
23;284
25;284
8;285
19;285
3;286
20;286
9;287
23;287
2;288
17;288
8;289
22;289
6;290
22;290
8;291
22;291
4;292
18;292
8;293
22;293
1;294
23;294
6;295
19;295
6;296
19;296
6;297
19;297
2;298
23;298
2;299
23;299
6;300
19;300
1;301
27;301
26;302
9;303
23;303
4;304
18;304
3;305
20;305
5;306
21;306
8;307
22;307
8;308
22;308
2;309
23;309
2;310
23;310
1;311
3;312
9;313
3;314
21;314
6;315
22;315
3;316
20;316
3;317
19;317
9;318
23;318
3;319
20;319
4;320
18;320
4;321
18;321
2;323
23;323
8;324
22;324
6;325
23;325
5;326
21;326
8;327
22;327
5;328
8;329
21;329
2;330
17;330
8;331
19;331
19;332
5;333
21;333
8;334
22;334
2;335
22;335
4;336
22;336
3;337
20;337
9;338
23;338
8;339
21;339
8;340
23;340
5;341
21;341
9;342
23;342
8;343
21;343
9;344
23;344
8;345
22;345
4;346
18;346
8;347
22;347
8;348
21;348
8;349
22;349
8;350
19;350
2;351
22;351
8;352
22;352
8;353
22;353
2;354
17;354
4;355
18;355
9;357
23;357
6;1356
19;1356
6;1357
19;1357
1;1358
23;1358
6;2358
19;2358
9;2359
23;2359
6;2360
22;2360
4;2361
18;2361
2;2362
17;2362
6;2363
19;2363
23;2364
3;2365
20;2365
8;2366
22;2366
5;2367
21;2367
8;2368
23;2368
19;2369
6;2370
19;2370
4;2371
18;2371
2;2372
17;2372
9;2373
23;2373
2;2374
23;2374
6;3371
22;3371
8;3373
22;3373
3;3374
19;3374
3;3375
23;3375
6;3376
19;3376
3;3377
20;3377
9;4371
23;4371
5;4372
21;4372
3;4373
19;4373
6;4374
22;4374
6;4375
9;4376
6;4377
19;4377
9;5375
23;5375
6;5376
22;5376
20;5377
3;5378
20;5378
2;5379
17;5379
9;5380
8;5381
22;5381
1;5382
9;5383
23;5383
3;5384
19;5384
9;6379
23;6379
3;6380
20;6380
2;6381
17;6381
6;6382
8;6383
22;6383
8;6384
22;6384
9;6385
23;6385
8;6386
22;6386
4;6387
22;6387
9;6388
23;6388
4;6389
23;6389
6;6390
19;6390
6;6391
19;6391
20;6392
4;6393
18;6393
6;6394
19;6394
5;7392
21;7392
3;7393
20;7393
8;7394
22;7394
6;7395
19;7395
19;7396
23;7397
18;7398
1;7399
20;7400
18;7401
19;7402
23;7403
19;7404
17;7405
17;7406
17;7407
19;7408
19;7409
18;7410
17;7411
18;7412
19;7413
22;7414
20;7415
19;7416
20;7417
19;7418
18;7419
18;7420
21;7421
21;7422
22;7423
19;7424
22;7425
23;7426
17;7427
23;7428
22;7430
22;7431
22;7432
22;7434
18;8435
21;8436
18;8437
18;8438
18;8439
20;8440
23;8441
19;8442
21;8443
18;8444
18;8445
20;8446
20;8447
23;8448
23;8449
17;8450
19;8451
23;8452
19;8453
22;8454
20;8455